segmenter_type,topology_size,num_vlans_expected,conductance,normalized_cut,num_clusters_actual,num_nodes,actions,time_ms,seed,is_warmup,topology
greedy,50,8,0.0,0.0,1,50,43,20.092499999009306,4,False,medium
greedy,50,8,0.0,0.0,1,50,43,17.090199999074684,5,False,medium
greedy,50,8,0.0,0.0,1,50,43,15.40470000327332,6,False,medium
greedy,50,8,0.0,0.0,1,50,43,14.585200002329657,7,False,medium
greedy,50,8,0.0,0.0,1,50,43,14.218600001186132,8,False,medium
greedy,50,8,0.0,0.0,1,50,43,13.526700000511482,9,False,medium
greedy,50,8,0.0,0.0,1,50,43,13.55399999738438,10,False,medium
sa,50,8,0.8462732919254659,0.9505097827796039,8,50,46,9.074100002180785,1,False,medium
sa,50,8,0.7798550724637681,0.8738422210507336,8,50,39,9.013200000481447,2,False,medium
sa,50,8,0.8806716539274679,0.9649136852907333,8,50,44,9.031599998706952,3,False,medium
sa,50,8,0.8729967948717949,0.9771597288784618,8,50,40,9.20369999948889,4,False,medium
sa,50,8,0.7971809826793921,0.889717989028773,8,50,40,9.200200001941994,5,False,medium
sa,50,8,0.861096256684492,0.9633499570542512,8,50,41,10.442899998452049,6,False,medium
sa,50,8,0.7805605129020035,0.8769803349122243,8,50,44,9.274799998820527,7,False,medium
sa,50,8,0.825189393939394,0.929388147571184,8,50,43,9.652400000049965,8,False,medium
sa,50,8,0.754210875331565,0.8523248465727201,8,50,44,9.824799999478273,9,False,medium
sa,50,8,0.7071937866055513,0.8009238600417818,8,50,46,9.586200001649559,10,False,medium
spectral,50,8,0.24935897435897436,0.28757133069897267,8,50,39,28.671800002484815,1,False,medium
spectral,50,8,0.2538003663003663,0.2918161372141285,8,50,41,32.27329999936046,2,False,medium
spectral,50,8,0.2538003663003663,0.2918161372141285,8,50,39,33.74199999962002,3,False,medium
spectral,50,8,0.2538003663003663,0.2918161372141285,8,50,40,35.46999999889522,4,False,medium
spectral,50,8,0.2538003663003663,0.2918161372141285,8,50,41,42.89679999783402,5,False,medium
spectral,50,8,0.2538003663003663,0.2918161372141285,8,50,41,45.64570000002277,6,False,medium
spectral,50,8,0.2538003663003663,0.2918161372141285,8,50,38,41.873099999065744,7,False,medium
spectral,50,8,0.2538003663003663,0.2918161372141285,8,50,39,40.54770000220742,8,False,medium
spectral,50,8,0.2538003663003663,0.2918161372141285,8,50,42,39.94040000179666,9,False,medium
spectral,50,8,0.2538003663003663,0.2918161372141285,8,50,38,43.66640000080224,10,False,medium
greedy,100,15,0.8461538461538461,0.8959276018099548,2,100,87,184.08650000128546,1,False,large
greedy,100,15,0.8461538461538461,0.8959276018099548,2,100,87,117.81870000049821,2,False,large
greedy,100,15,0.8461538461538461,0.8959276018099548,2,100,87,114.2757999987225,3,False,large
greedy,100,15,0.8461538461538461,0.8959276018099548,2,100,87,154.60410000014235,4,False,large
greedy,100,15,0.8461538461538461,0.8959276018099548,2,100,87,117.5465999986045,5,False,large
greedy,100,15,0.8461538461538461,0.8959276018099548,2,100,87,121.32320000091568,6,False,large
greedy,100,15,0.8461538461538461,0.8959276018099548,2,100,87,112.45409999901312,7,False,large
greedy,100,15,0.8461538461538461,0.8959276018099548,2,100,87,110.61909999989439,8,False,large
greedy,100,15,0.8461538461538461,0.8959276018099548,2,100,87,111.81070000020554,9,False,large
greedy,100,15,0.8461538461538461,0.8959276018099548,2,100,87,117.36020000171266,10,False,large
sa,100,15,0.9128631054462256,0.9776860676834739,15,100,72,16.027800000301795,1,False,large
sa,100,15,0.8396282805415932,0.8996510581281533,15,100,45,16.567499998927815,2,False,large
sa,100,15,0.9040866592658306,0.9673808577056382,15,100,71,17.024900000251364,3,False,large
sa,100,15,0.9097189823532534,0.9725473804438461,15,100,80,16.693599998689024,4,False,large
sa,100,15,0.8938142374421444,0.958175777458687,15,100,74,16.830399999889778,5,False,large
sa,100,15,0.9221770613242619,0.9884281645603179,15,100,75,17.083099999581464,6,False,large
sa,100,15,0.8946643400421836,0.9566474640975051,15,100,70,16.771099999459693,7,False,large
sa,100,15,0.886478030825857,0.9499985005866637,15,100,69,16.811099998449208,8,False,large
sa,100,15,0.9211996336996335,0.9854162679678745,15,100,72,16.862899999978254,9,False,large
sa,100,15,0.9040009163301383,0.9679840377719998,15,100,76,16.976199996861396,10,False,large
spectral,100,15,0.2733211233211233,0.2942922214791966,15,100,84,42.61140000016894,1,False,large
spectral,100,15,0.2549084249084249,0.27466463445434924,15,100,87,56.79679999957443,2,False,large
spectral,100,15,0.2549084249084249,0.27466463445434924,15,100,87,59.3044999986887,3,False,large
spectral,100,15,0.2733211233211233,0.2942922214791966,15,100,84,60.8079000012367,4,False,large
spectral,100,15,0.2733211233211233,0.2942922214791966,15,100,84,66.01210000007995,5,False,large
spectral,100,15,0.2549084249084249,0.27466463445434924,15,100,85,65.57119999706629,6,False,large
spectral,100,15,0.2733211233211233,0.2942922214791966,15,100,82,63.555700002325466,7,False,large
spectral,100,15,0.2641025641025641,0.28446768999907507,15,100,83,57.16250000114087,8,False,large
spectral,100,15,0.2733211233211233,0.2942922214791966,15,100,85,56.34970000028261,9,False,large
spectral,100,15,0.2733211233211233,0.2942922214791966,15,100,86,63.66799999887007,10,False,large
